"Fiscal_Year","Contracting_Agency_ID","fundingrequestingagencyid","ContractingOfficeID","fundingrequestingofficeid","PlatformPortfolio","ProjectID","ProductOrServiceCode","ClaimantProgramCode","CompetitionClassification","ClassifyNumberOfOffers","PricingMechanism","research_code","VendorSize","ParentID","dunsnumber","CSIStransactionID","CSIScontractID","idvpiid","idvagencyid","agencyid","PIID","NumberOfActions","Action_Obligation_Then_Year","progsourceagency","progsourceaccount","progsourcesubacct","account_title","rec_flag","treasury_accounts_funding_this_award","federal_accounts_funding_this_award","usaspending_permalink","MainAccountTitle","ContractingAgencyName","Customer","SubCustomer","SubCustomer.sum","SubCustomer.platform","Competition.detail","Competition.sum","Competition.Graph","Competition.effective.only","Competition.multisum","No.Competition.sum","No.Competition.Offer","CompOffr","ProductOrServiceCodeText","SimpleArea","ProductOrServiceArea","ProductServiceOrRnDarea","CrisisProductOrServiceArea","Project.Name","IsUnknown","SubCustomer.JPO","Shiny.VendorSize","Action_Obligation_OMB23_GDP21","dFYear","descriptionofcontractrequirement","recipient_uei","recipient_parent_uei","parentdunsnumber","vendorname","standardizedvendorname","principalnaicscode"
2016,"9763","2100","S0514A","W58RGZ","Aircraft",54,"AC14","A1B","No Competition (Only One Source Exception)","No competition","Firm Fixed Price","SR3","Large","HONEYWELL","962134727",60637598,24580623,"W58RGZ10D0141","9700",9700,"0009",1,0,21,"2031","",NA,"",NA,NA,NA,"AIRCRAFT PROCUREMENT, ARMY","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","Defense","Other DoD","Other DoD","Other DoD","No Comp. (Only 1 Source)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)","No Comp.","DEFENSE AIRCRAFT (ENGINEERING)","R&D","R&D","Advanced Component Development & Prototypes (6.4)","R&D","APACHE (AH-64A)",0,"Other DoD","Large",0,2016-01-01,"DELIVERY ORDER","DZ4PGK2VWSA3",NA,139691877,"HONEYWELL INTERNATIONAL INC.","HONEYWELL INTERNATIONAL",811219
2021,"5700","5700","FA8117","F3YCAB","Aircraft",NA,"J066","A1B","Limited Competition with multiple offers","Two Offers","Firm Fixed Price","SR3","Small",NA,"010996890",107017271,87648241,"FA811720D0025","9700",9700,"FA811721F0133",1,244800,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/award/CONT_AWD_FA811721F0133_9700_FA811720D0025_9700/",NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","MAINT-REP OF INSTRUMENTS & LAB EQ","Services","ERS","ERS","ERS",NA,NA,"Air Force","Small",244800,2021-01-01,"REPAIR OF T38 RATE OF FLOW TRANSMITTER","Z2X6JNJKXEP8","Z2X6JNJKXEP8",10996890,"GYRO HOUSE, THE","GYRO HOUSE",336413
2008,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"196694640",26701148,9881010,"F3361501D2114","9700",9700,"0004",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",0,2008-01-01,"NCTE/HARDWARE TRANSFER",NA,NA,196694640,"ADVANCED PROJECTS RESEARCH, IN","ADVANCED PROJECTS RESEARCH",541710
2011,"2100","2100","W911W6","W911W6","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"118276083",23160326,24670375,"W911W609D0012","9700",9700,"0001",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Army","Small",0,2011-01-01,"LOCUST USA - SBIR PHASE III",NA,NA,118276083,"LOCUST USA INC","LOCUST USA",541712
2004,"5700","5700","GR06","","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"196694640",29073637,9881010,"F3361501D2114","9700",9700,"0004",1,1375000,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",1919153.1781684,2004-01-01,"200407!000157!5700!GR06  !AFRL/PRKA AEROSPACE POWER FUELS !F3361501D2114  !A!N! !N!0004         !01    !20040430!20070822!196694640!196694640!196694640!N!ADVANCED PROJECTS RESEARCH, IN!1925 MCKINLEY AVE STE B   !LA VERNE            !CA!91750!40830!037!06!LA VERNE            !LOS ANGELES           !CALIFORNIA!+000001375000!N!N!000000000000!AC12!RDTE/AIRCRAFT-APPLIED RESEARCH                    !A1B!AIRCRAFT ENGINES AND SPARES         !000 !*                             !541710!E! !5!B!S!C! ! !99990909!B!A!N!A! !A!N!U!2!001!K!  !Z!Y!Z! !  !N!B!Y!N! ! !Z! !B!A!00 !D!B!N! ! ! ! !    !      !0001! !",NA,NA,196694640,"ADVANCED PROJECTS RESEARCH, IN","ADVANCED PROJECTS RESEARCH",541710
2018,"1700","1700","N68335","N68335","Aircraft",NA,"6140","A1C","No Competition (Other Exception)","No competition","Firm Fixed Price","SR3","Small",NA,"142784276",97924817,85948734,"","",9700,"N6833518D0002",NA,0,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/#/award/CONT_IDV_N6833518D0002_9700/",NA,"DEPT OF THE NAVY","Defense","Navy","Navy","Navy","No Comp. (Other)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Other)","No Comp. (Other)","No Comp.","BATTERIES, RECHARGEABLE","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants",NA,NA,"Navy","Small",0,2018-01-01,"NON-RECURRING ENGINEERING (NRE)AND PRODUCTION","J5KAG8MBP5Q5",NA,142784276,"CORNERTURN, LLC","CORNERTURN",335912
2021,"5700","5700","FA8117","F3YCAB","Aircraft",NA,"J066","A1B","Limited Competition with multiple offers","Two Offers","Firm Fixed Price","SR3","Small",NA,"010996890",107017328,87648281,"FA811720D0025","9700",9700,"FA811721F0190",1,0,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/award/CONT_AWD_FA811721F0190_9700_FA811720D0025_9700/",NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","MAINT-REP OF INSTRUMENTS & LAB EQ","Services","ERS","ERS","ERS",NA,NA,"Air Force","Small",0,2021-01-01,"T-38 RATE OF FLOW TRANSMITTER REPAIR","Z2X6JNJKXEP8","Z2X6JNJKXEP8",10996890,"GYRO HOUSE, THE","GYRO HOUSE",336413
2001,"5700","5700","GR06","","Aircraft",NA,"AC13","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"196694640",62069900,63033646,"F3361501D2114","9700",9700,"0001",1,244126,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","DEFENSE AIRCRAFT (ADVANCED)","R&D","R&D","Advanced Technology Development (6.3)","R&D",NA,NA,"Air Force","Small",365556.221449558,2001-01-01,"200112!000175!5700!GR06  !AFRL/PRKA AEROSPACE POWER FUELS !F3361501D2114  !A!N!*!N!000101             !20010911!20070822!196694640!196694640!196694640!N!ADVANCED PROJECTS RESEARCH, IN!1925 MCKINLEY AVE STE B   !LA VERNE            !CA!91750!40830!037!06!LA VERNE            !LOS ANGELES           !CALIFORNIA!+000000244126!N!N!000000000000!AC13!RDTE/AIRCRAFT-ADV TECH DEV                        !A1B!AIRCRAFT ENGINES AND SPARES   !3000!NOT DISCERNABLE OR CLASSIFIED !541710!*!*!5!B!S!C!*!*!*!B!*!*!N!Z!A !N!U!2!001!K!  !Z!Y!Z!  !  !N!B!Y!N! ! !Z! !B!A!000!D!B!N! ! ! ! !    !      !0001!",NA,NA,196694640,"ADVANCED PROJECTS RESEARCH, IN","ADVANCED PROJECTS RESEARCH",541710
2021,"5700","5700","FA8117","F3YCAB","Aircraft",NA,"J066","A1B","Limited Competition with multiple offers","Two Offers","Firm Fixed Price","SR3","Small",NA,"010996890",107017053,87648129,"FA811720D0025","9700",9700,"FA811721F0009",1,0,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/award/CONT_AWD_FA811721F0009_9700_FA811720D0025_9700/",NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","MAINT-REP OF INSTRUMENTS & LAB EQ","Services","ERS","ERS","ERS",NA,NA,"Air Force","Small",0,2021-01-01,"REPAIR OF T-38 RATE OF FLOW TRANSMITTER","Z2X6JNJKXEP8","Z2X6JNJKXEP8",10996890,"GYRO HOUSE, THE","GYRO HOUSE",336413
2002,"5700","5700","GR06","","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"196694640",62285869,63055003,"F3361501D2114","9700",9700,"0002",1,2505219,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",3693887.22713882,2002-01-01,"200210!002009!5700!GR06  !AFRL/PRKA AEROSPACE POWER FUELS !F3361501D2114  !A!N! !N!0002               !20020710!20041117!196694640!196694640!196694640!N!ADVANCED PROJECTS RESEARCH, IN!1925 MCKINLEY AVE STE B   !LA VERNE            !CA!91750!40830!037!06!LA VERNE            !LOS ANGELES           !CALIFORNIA!+000002505219!N!N!000000000000!AC12!RDTE/AIRCRAFT-APPLIED RESEARCH                    !A1B!AIRCRAFT ENGINES AND SPARES   !3000!NOT DISCERNABLE OR CLASSIFIED !541710!E! !5!B!S! ! ! !99990909!B! ! !N!Z!A!N!U!2!001!K!  !Z!Y!Z!  !  !N!B!Y!N! ! !Z! !B!A!000!D!B!N! ! ! ! !    !      !0001!",NA,NA,196694640,"ADVANCED PROJECTS RESEARCH, IN","ADVANCED PROJECTS RESEARCH",541710
2009,"5700","5700","FA8650","F4FBEX","Aircraft",NA,"AC52","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"608777798",2862164,10096137,"FA865006D2620","9700",9700,"0003",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: WEAPONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",0,2009-01-01,"LIQUID NITROGEN SPRAY COOLING OF LASER GAIN MATERIAL","HYM9KYNJ14K8",NA,608777798,"RINI TECHNOLOGIES INC","RINI TECHNOLOGIES",541710
2006,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"196694640",2347996,9881011,"F3361501D2114","9700",9700,"0005",1,1999989,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",2607229.25789007,2006-01-01,"200610!009046!5700!FA8650!DET 1 AFRL/PK                   !F3361501D2114  !A!N! !Y!0005         !      !20060726!20081128!196694640!196694640!196694640!N!ADVANCED PROJECTS RESEARCH, IN!1925 MCKINLEY AVE STE B   !LA VERNE            !CA!91750!40830!037!06!LA VERNE            !LOS ANGELES           !CALIFORNIA!+000001999989!N!N!000000000000!AC12!RDTE/AIRCRAFT-APPLIED RESEARCH                    !A1B!AIRCRAFT ENGINES AND SPARES         !000 !NOT DISCERNABLE               !541710!E! !4! !S! ! ! !99990909!B!A!N!A! !A!N!U!2!002!K!  !Z!Y!Z! !  !N!B!Y!N! ! !Z! !B!A!000!D!B!N! ! ! ! !    !      !0001! !",NA,NA,196694640,"ADVANCED PROJECTS RESEARCH, IN","ADVANCED PROJECTS RESEARCH",541710
2009,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC13","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small","AEROVIRONMENT","058024456",2069425,10096236,"FA865007D2701","9700",9700,"0005",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","DEFENSE AIRCRAFT (ADVANCED)","R&D","R&D","Advanced Technology Development (6.3)","R&D",NA,NA,"Air Force","Small",0,2009-01-01,"INCORPORATE IDENTIFICATION & ASSERTATION OF USE",NA,NA,58024456,"AEROVIRONMENT INCORPORATED","AEROVIRONMENT",541710
2008,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"196694640",13291795,9881010,"F3361501D2114","9700",9700,"0004",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",0,2008-01-01,"NCTE",NA,NA,196694640,"ADVANCED PROJECTS RESEARCH, IN","ADVANCED PROJECTS RESEARCH",541710
2003,"1700","1700","E612A","","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","100+ Offers","Cost Plus Fixed Fee","SR3","Small",NA,"602374951",20435182,18654022,"N0001403D0247","9700",9700,"0001",1,997418,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE NAVY","Defense","Navy","Navy","Navy","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Navy","Small",1429088.241235,2003-01-01,"",NA,NA,217304393,"ADVANCED CERAMICS RESEARCH, IN","ADVANCED CERAMICS RESEARCH",541710
2009,"2100","2100","W911W6","W911W6","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"118276083",4667793,24670375,"W911W609D0012","9700",9700,"0001",1,849982.625,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Army","Small",1043312.36062006,2009-01-01,"LOCUST USA - SBIR PHASE III",NA,NA,118276083,"LOCUST USA INC","LOCUST USA",541712
2021,"9763","5700","S0637A","FA8117","Aircraft",NA,"J066","A1B","Limited Competition with multiple offers","Two Offers","Firm Fixed Price","SR3","Small",NA,"010996890",107016984,87648085,"","",9700,"FA811720D0025",NA,0,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/award/CONT_IDV_FA811720D0025_9700/",NA,"DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","Defense","Other DoD","Other DoD","Other DoD","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","MAINT-REP OF INSTRUMENTS & LAB EQ","Services","ERS","ERS","ERS",NA,NA,"Other DoD","Small",0,2021-01-01,"REPAIR OF T-38 RATE OF FLOW TRANSMITTER","Z2X6JNJKXEP8","Z2X6JNJKXEP8",10996890,"GYRO HOUSE, THE","GYRO HOUSE",336413
2014,"9763","5700","S0513A","FA8650","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"196694640",40847684,9881011,"F3361501D2114","9700",9700,"0005",1,-7.38,57,"3600","",NA,"",NA,NA,NA,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION, AIR FORCE","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","Defense","Other DoD","Other DoD","Other DoD","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Other DoD","Small",-8.27528338839718,2014-01-01,"200610!009046!5700!FA8650!DET 1 AFRL/PK                   !F3361501D2114  !A!N! !Y!0005         !      !20060726!20081128!196694640!196694640!196694640!N!ADVANCED PROJECTS RESEARCH, IN!1925 MCKINLEY AVE STE B   !LA VERNE            !CA!91750!40830!037!06!LA VERNE            !LOS ANGELES           !CALIFORNIA!+000001999989!N!N!000000000000!AC12!RDTE/AIRCRAFT-APPLIED RESEARCH                    !A1B!AIRCRAFT ENGINES AND SPARES         !000 !NOT DISCERNABLE               !541710!E! !4! !S! ! ! !99990909!B!A!N!A! !A!N!U!2!002!K!  !Z!Y!Z! !  !N!B!Y!N! ! !Z! !B!A!000!D!B!N! ! ! ! !    !      !0001! !",NA,NA,196694640,"ADVANCED PROJECTS RESEARCH, IN","ADVANCED PROJECTS RESEARCH",541710
2021,"5700","5700","FA8117","F3YCAB","Aircraft",NA,"J066","A1B","Limited Competition with multiple offers","Two Offers","Firm Fixed Price","SR3","Small",NA,"010996890",107017230,87648218,"FA811720D0025","9700",9700,"FA811721F0107",1,0,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/award/CONT_AWD_FA811721F0107_9700_FA811720D0025_9700/",NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","MAINT-REP OF INSTRUMENTS & LAB EQ","Services","ERS","ERS","ERS",NA,NA,"Air Force","Small",0,2021-01-01,"REPAIR OF T38 RATE OF FLOW TRANSMITTER","Z2X6JNJKXEP8","Z2X6JNJKXEP8",10996890,"GYRO HOUSE, THE","GYRO HOUSE",336413
2018,"9763","5700","S0513A","FA8650","Aircraft",NA,"AC13","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"196694640",92547588,1184678,"","",9700,"F3361501D2114",NA,0,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/#/award/CONT_IDV_F3361501D2114_9700/",NA,"DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","Defense","Other DoD","Other DoD","Other DoD","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","DEFENSE AIRCRAFT (ADVANCED)","R&D","R&D","Advanced Technology Development (6.3)","R&D",NA,NA,"Other DoD","Small",0,2018-01-01,"AFRL/PRKA AEROSPACE POWER FUELS",NA,NA,196694640,"ADVANCED PROJECTS RESEARCH, IN","ADVANCED PROJECTS RESEARCH",541710
2009,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC13","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small","AEROVIRONMENT","058024456",12617856,10096234,"FA865007D2701","9700",9700,"0003",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","DEFENSE AIRCRAFT (ADVANCED)","R&D","R&D","Advanced Technology Development (6.3)","R&D",NA,NA,"Air Force","Small",0,2009-01-01,"EXTENSION POP",NA,NA,58024456,"AEROVIRONMENT INCORPORATED","AEROVIRONMENT",541710
2011,"2100","2100","W911W6","W911W6","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"118276083",918959,24670375,"W911W609D0012","9700",9700,"0001",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Army","Small",0,2011-01-01,"PERIOD OF PERFORMANCE EXTENSION MODIFICATION TO PHASE III SMALL BUSINESS INNOVATION RESEARCH (SBIR) PROGRAM",NA,NA,118276083,"LOCUST USA INC","LOCUST USA",541712
2021,"5700","5700","FA8117","F3YCAB","Aircraft",NA,"J066","A1B","Limited Competition with multiple offers","Two Offers","Firm Fixed Price","SR3","Small",NA,"010996890",107017327,87648281,"FA811720D0025","9700",9700,"FA811721F0190",1,331200,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/award/CONT_AWD_FA811721F0190_9700_FA811720D0025_9700/",NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","MAINT-REP OF INSTRUMENTS & LAB EQ","Services","ERS","ERS","ERS",NA,NA,"Air Force","Small",331200,2021-01-01,"REPAIR OF RATE OF FLOW TRANSMITTER","Z2X6JNJKXEP8","Z2X6JNJKXEP8",10996890,"GYRO HOUSE, THE","GYRO HOUSE",336413
2003,"5700","5700","GR06","","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"196694640",59688,9881009,"F3361501D2114","9700",9700,"0003",1,2383498,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",3415046.61516751,2003-01-01,"200309!000063!5700!GR06  !AFRL/PRKA AEROSPACE POWER FUELS !F3361501D2114  !A!N! !N!0003               !20030331!20060705!196694640!196694640!196694640!N!ADVANCED PROJECTS RESEARCH, IN!1925 MCKINLEY AVE STE B   !LA VERNE            !CA!91750!40830!037!06!LA VERNE            !LOS ANGELES           !CALIFORNIA!+000002383498!N!N!000000000000!AC12!RDTE/AIRCRAFT-APPLIED RESEARCH                    !A1B!AIRCRAFT ENGINES AND SPARES   !3000!NOT DISCERNABLE OR CLASSIFIED !541710!E! !5!B!S! ! ! !99990909!B! ! !N!Z!A!N!U!2!001!K!  !Z!Y!Z!  !  !N!B!Y!N! ! !Z! !B!A!000!D!B!N! ! ! ! !    !      !0001! !",NA,NA,196694640,"ADVANCED PROJECTS RESEARCH, IN","ADVANCED PROJECTS RESEARCH",541710
2004,"1700","1700","A8050","N00421","Aircraft",NA,"AC12","A1B","Limited Competition with multiple offers","3-4 Offers","Firm Fixed Price","SR3","Small",NA,"858400716",30638378,19406621,"N6833500D0463","9700",9700,"0006",1,149246,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE NAVY","Defense","Navy","Navy","Navy","3-4 Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Navy","Small",208309.771075579,2004-01-01,"",NA,NA,858400716,"JENTEK SENSORS, INC","JENTEK SENSORS",541710
2011,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC61","A1B","Limited Competition with multiple offers","25-99 Offers","Firm Fixed Price","SR1","Small","AURORA FLIGHT SCIENCES","604717165",21649863,1421267,"","",9700,"FA865010M2037",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","5+ Offers","3+ Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","5+ Offers","5+ Offers","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (BASIC RESEARCH)","R&D","R&D","Basic Research (6.1)","R&D",NA,NA,"Air Force","Small",0,2011-01-01,"NO COST TIME EXTENSION","K1L1BZLNPWC4",NA,604717165,"AURORA FLIGHT SCIENCES CORPORATION","AURORA FLIGHT SCIENCES",541711
2002,"5700","5700","GR14","","Aircraft",NA,"AC16","A1B","Limited Competition with multiple offers","Two Offers","Cost Plus Fixed Fee","SR2","Small",NA,"836759522",24648256,1185037,"","",9700,"F3361502C2235",1,375000,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","R&D- DEFENSE SYSTEM: AIRCRAFT (MANAGEMENT/SUPPORT)","Services","PAMS","PAMS","PAMS",NA,NA,"Air Force","Small",552928.789928967,2002-01-01,"","KQQMMWY4Y3T3",NA,836759522,"ECLIPSE ENERGY SYSTEMS","ECLIPSE ENERGY SYSTEMS",541710
